has_types	0.02824
	0.26855	radio
	0.26783	pets
	0.26760	pup
	0.26730	spaniel
	0.26624	pet
	0.26566	terrier
	0.26482	dolphin
	0.26324	orcas
	0.26196	neutered
	0.26002	rescues
	0.25814	canine
	0.25776	retriever
	0.25544	animals
	0.25292	animal
	0.25183	terriers
	0.25127	greyhound
	0.25105	veterinarian
	0.24949	simulcast
	0.24933	dolphins
	0.24533	broadcasts
	0.24441	cats
	0.24326	otters
	0.24041	captivity
	0.24017	manatee
	0.23937	lynx
	0.23882	kittens
	0.23833	syndicated
	0.23804	interviewed
	0.23670	porpoises
does_breathe	0.13008
	0.46382	whales
	0.44781	whale
	0.44590	humpback
	0.42114	bottlenose
	0.41141	sharks
	0.40397	minke
	0.39645	shark
	0.38513	orca
	0.37993	orcas
	0.37751	dolphin
	0.37117	dolphins
	0.36455	manatee
	0.36428	manatees
	0.35720	overfishing
	0.35608	beluga
	0.35565	porpoises
	0.34982	bluefin
	0.34185	humpbacks
	0.33630	mammals
	0.32770	beaked
	0.31557	strandings
	0.31193	walruses
	0.31149	mammal
	0.30306	seabirds
	0.30102	beached
	0.29867	fisheries
	0.29517	endangered
	0.29448	whaling
	0.29341	crocodiles
	0.28760	otters
	0.28514	sturgeon
	0.28493	sightings
	0.28153	overfished
	0.28032	coho
	0.27995	biologist
	0.27640	fishery
	0.27533	fishes
	0.27498	migratory
	0.26905	alligators
	0.26700	walrus
	0.26357	turtles
	0.26238	loggerhead
	0.25646	amphibians
	0.25610	extinction
	0.25514	predation
	0.25129	crocodile
	0.25107	otter
	0.24780	reptiles
	0.24772	mollusks
	0.24693	vertebrates
has_an_end	0.13208
	0.32415	clamps
	0.31920	bolts
	0.31623	wrench
	0.29067	hoses
	0.28916	spatula
	0.28344	screws
	0.27973	wrenches
	0.27522	clamp
	0.27354	hose
	0.26138	clamping
	0.25747	screwdriver
	0.25502	hammer
	0.24921	screw
	0.24900	tool
	0.24857	plug
	0.24441	suction
	0.24390	tongs
	0.24366	nozzle
	0.24189	book
	0.24080	pliers
	0.23969	fasteners
	0.23223	loosen
	0.23064	weld
	0.22752	gasket
	0.22384	manifold
	0.22288	welding
	0.22270	ratcheting
	0.22268	loosening
	0.22243	tamping
	0.22164	tools
	0.22152	plugs
	0.22104	pry
	0.22054	gripping
	0.21692	slotted
	0.21640	tighten
	0.21581	pipe
	0.21559	hammers
	0.21508	solder
	0.21491	threaded
	0.21463	spout
	0.21401	forged
	0.20907	ratchets
	0.20817	ratchet
	0.20748	corrosion
	0.20693	disconnect
	0.20593	ignition
	0.20580	exhaust
	0.20571	riveting
	0.20564	forging
	0.20553	bolt
is_found_in_the_country	0.13514
	0.33723	jeep
	0.31164	fox
	0.30895	jeeps
	0.30809	wheeler
	0.27046	wheelers
	0.26742	tractor
	0.26289	dodge
	0.25699	tractors
	0.25320	hedgehog
	0.24647	bighorn
	0.23607	roading
	0.23302	backhoe
	0.22861	snowmobiles
	0.21659	autos
	0.21080	ranger
	0.20871	loaders
	0.20830	bogging
	0.20667	snowmobile
	0.20449	jaguar
	0.20434	classifieds
